Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
0,MCTS,3,FALSE,Minimax,5,0,0,1,31,20268,90.9545,4298286,203.738
1,MCTS,3,FALSE,Minimax,5,0,0,1,96,24963,287.235,2248781,218.196
2,MCTS,3,FALSE,Minimax,5,0,0,1,79,31924,240.125,7129528,606.343
3,MCTS,3,FALSE,Minimax,5,0,0,1,2,242,3.01016,106215,4.20355
4,MCTS,3,FALSE,Minimax,5,0,0,1,200,59098,602.611,2592123,510.279
0,MCTS,3,FALSE,Minimax,5,0,0,1,13,1914,36.1574,1124143,68.1605
1,MCTS,3,FALSE,Minimax,5,0,0,1,98,20240,292.895,1380739,167.461
2,MCTS,3,FALSE,Minimax,5,0,0,1,17,2642,48.1878,994113,46.8946
3,MCTS,3,FALSE,Minimax,5,0,0,1,2,186,3.00994,179349,7.36077
4,MCTS,3,FALSE,Minimax,5,0,0,1,57,12209,168.875,835933,69.7562
0,MCTS,3,FALSE,Minimax,5,0,0,1,32,9761,93.6151,1899256,113.216
1,MCTS,3,FALSE,Minimax,5,0,0,1,125,25812,376.21,3131890,507.24
3,MCTS,3,FALSE,Minimax,5,0,0,1,3,459,6.02465,263506,9.93654
3,MCTS,3,FALSE,Minimax,5,0,0,1,2,221,3.00492,106215,4.017
0,MCTS,3,True,Minimax,5,0,0,1,10,2056,30.0958,468722,22.1036
1,MCTS,3,True,Minimax,5,0,0,1,12,1981,36.1463,247787,11.1355
2,MCTS,3,True,Minimax,5,0,0,1,6,992,18.0579,282818,10.2309
3,MCTS,3,True,Minimax,5,0,0,1,4,892,12.0151,226273,8.84345
4,MCTS,3,True,Minimax,5,0,0,1,22,4276,66.2069,768573,33.673
0,MCTS,3,True,Minimax,5,0,0,1,14,2681,42.1648,991293,57.1654
1,MCTS,3,True,Minimax,5,0,0,1,8,1268,24.1472,215056,9.14681
2,MCTS,3,True,Minimax,5,0,0,1,8,1420,24.0918,870285,33.0385
3,MCTS,3,True,Minimax,5,0,0,1,6,1648,18.0374,767400,27.9953
4,MCTS,3,True,Minimax,5,0,0,1,6,1058,18.086,207521,8.25363
0,MCTS,3,True,Minimax,5,0,0,1,5,929,15.071,571429,23.6674
1,MCTS,3,True,Minimax,5,0,0,1,10,1570,30.1387,149339,7.08613
2,MCTS,3,True,Minimax,5,0,0,1,13,2184,39.1498,677440,28.829
3,MCTS,3,True,Minimax,5,0,0,1,6,1367,18.0354,521452,23.112
4,MCTS,3,True,Minimax,5,0,0,1,13,2024,39.1758,319190,14.5416
0,MCTS,3,True,Minimax,5,0,0,1,3,490,9.03978,220898,9.34851
1,MCTS,3,True,Minimax,5,0,0,1,33,4401,99.5301,872345,57.0763
2,MCTS,3,True,Minimax,5,0,0,1,9,1597,27.1601,853871,35.0147
3,MCTS,3,True,Minimax,5,0,0,1,4,882,12.0363,469112,18.7947
4,MCTS,3,True,Minimax,5,0,0,1,154,42815,466.772,4562802,615.442
0,MCTS,3,True,Minimax,5,0,0,1,22,4428,66.2554,929948,47.8842
1,MCTS,3,True,Minimax,5,0,0,1,9,1245,27.166,150588,8.26601
2,MCTS,3,True,Minimax,5,0,0,1,3,404,9.0308,267269,11.2713
3,MCTS,3,True,Minimax,5,0,0,1,14,4041,42.1895,1911146,87.4981
4,MCTS,3,True,Minimax,5,0,0,1,9,1386,27.1982,325425,15.639
0,MCTS,3,True,Minimax,5,0,0,1,29,7095,87.6099,3299533,189.523
